TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
31.293,-2444.59523884334,7429.057109781911,293.0,1658.8902777777787,100.0,False,1
31.45,-2440.0,7561.0,294.9624992,1671.7554652876852,100.0,False,1
31.453,-2439.8871222640155,7563.398220568758,295.0,1672.0013888888898,100.0,False,1
31.61,-2433.0,7684.0,295.0,1684.8666820766284,100.0,False,1
31.613,-2432.862702327321,7686.274347019057,295.0,1685.1125000000009,100.0,False,1
31.93,-2414.0,7954.0,295.0,1711.0888655006854,100.0,False,1
31.933,-2413.6964582435853,7957.314890078014,295.0,1711.334722222223,100.0,False,1
32.19,-2383.0,8256.0,295.0,1732.3970186246388,100.0,False,1
32.373,-2373.884486534871,8332.923444710352,295.0,1747.3902777777785,100.0,False,1
32.45,-2369.0,8370.0,295.0,1753.6967208952453,100.0,False,1
32.67,-2344.0,8557.0,295.0,1771.7191744064141,100.0,False,1
32.733,-2336.189739929698,8609.117348247173,295.0,1776.8902777777785,100.0,False,1
32.929,-2311.0,8759.0,295.7,1793.0094893977957,100.0,False,1
33.013,-2298.846331857783,8828.150215664162,296.0,1799.9125000000008,100.0,False,1
33.109,-2285.0,8905.0,295.4,1807.7885536228512,100.0,False,1
33.173,-2276.5547345428076,8950.358523483379,295.0,1813.0236111111121,100.0,False,1
33.369,-2247.0,9094.0,292.8222222222222,1828.9491512294878,100.0,False,1
33.533,-2203.4489130114744,9285.169490490396,291.0,1842.123611111112,100.0,False,1
33.609,-2186.0,9360.0,289.1,1848.1749906866842,100.0,False,1
33.733,-2168.7377635073353,9431.983785481007,286.0,1858.0125000000005,100.0,False,1
33.869,-2154.0,9491.0,285.32,1868.8170723539395,100.0,False,1
33.933,-2143.9354511869897,9531.872556269589,285.0,1873.845833333334,100.0,False,1
34.069,-2119.0,9635.0,276.16,1884.3041465269298,94.56,False,1
34.133,-2107.935626245324,9682.45114334224,272.0,1888.9569444444453,92.0,True,1
34.27,-2086.0,9779.0,252.24452729890362,1898.1201015620873,52.48905459780723,True,1
34.452,-2060.071642882748,9893.382235826972,226.0,1908.9830555555561,0.0,True,1
34.49,-2055.0,9916.0,222.29501248,1911.1292367320004,0.0,True,1
34.77,-2020.0,10072.0,194.99501247999999,1925.755667469195,0.0,True,1
34.852,-2009.9686582341299,10113.04481431618,187.0,1929.7608333333337,0.0,True,1
34.91,-2003.0,10141.0,182.8718942911076,1932.5318658033798,0.0,True,1
35.133,-1974.8772860093768,10246.195218466606,167.0,1942.7961111111117,0.0,True,1
35.15,-1972.0,10255.0,166.4535734857143,1943.5632961482493,0.0,True,1
35.413,-1914.3486902583343,10401.731435865448,158.0,1955.0850000000003,0.0,True,1
35.47,-1904.0,10425.0,154.67500373333334,1957.4379599753152,0.0,True,1
35.653,-1883.1041908914724,10464.385731225884,144.0,1964.6850000000004,0.0,True,1
35.83,-1855.0,10491.0,138.69000192000001,1971.4813970804428,0.0,True,1
35.853,-1848.9763716921968,10496.408512515203,138.0,1972.3516666666671,0.0,False,1
35.95,-1820.0,10521.0,136.3833344,1975.990308124065,0.4041664,False,1
36.093,-1779.753643208941,10544.375227745753,134.0,1981.2850000000005,1.0,False,1
36.15,-1759.0,10552.0,134.0,1983.3829328194586,6.6999936,False,1
36.47,-1594.0,10593.0,134.0,1995.2168850746593,38.6999936,False,1
36.533,-1572.8227054698507,10598.761343655828,134.0,1997.6627777777783,45.0,False,1
36.693,-1540.8540001545007,10610.463319413991,145.0,2004.1072222222226,77.0,False,1
36.77,-1523.0,10618.0,148.07999744,2007.3330689345773,76.61500032,False,1
36.893,-1485.5197922563634,10634.013984891253,153.0,2012.6072222222228,76.0,False,1
37.07,-1411.0,10676.0,155.94999893333335,2020.3074839488918,67.88750293333334,False,1
37.133,-1378.1470513662455,10700.230816387964,157.0,2023.0738888888895,65.0,False,1
37.333,-1269.9269656549243,10792.515719795776,161.0,2032.0183333333339,69.0,False,1
37.35,-1263.0,10799.0,162.062496,2032.8076270824297,69.0,False,1
37.493,-1222.5696475217094,10841.52324444571,171.0,2039.618333333334,69.0,False,1
37.69,-1189.0,10893.0,175.10416533333333,2049.1948941635674,73.9249984,False,1
37.733,-1179.1386125980698,10908.689043892144,176.0,2051.351666666667,75.0,False,1
37.81,-1160.0,10940.0,179.20833066666665,2055.292798462731,80.34721777777777,False,1
38.01,-1111.0,11031.0,187.541664,2065.9459589315493,94.23610666666667,False,1
38.093,-1092.5218161817893,11070.872831576435,191.0,2070.4516666666673,100.0,False,1
38.33,-1046.0,11191.0,198.89999786666667,2083.549003216787,100.0,False,1
38.333,-1045.4536993362606,11192.598490683305,199.0,2083.7183333333337,100.0,False,1
38.51,-1015.0,11289.0,203.86749824,2093.8915921686416,100.0,False,1
38.733,-980.6693534008617,11410.158841467304,210.0,2107.0516666666667,100.0,False,1
38.79,-971.0,11447.0,211.70999808,2110.440085207737,100.0,False,1
38.933,-943.9934858105994,11554.194812511201,216.0,2119.0516666666667,100.0,False,1
39.01,-931.0,11607.0,220.3312464,2123.8221125280375,100.0,False,1
39.093,-919.86684334352,11652.931135970164,225.0,2129.051666666667,100.0,False,1
39.27,-900.0,11736.0,230.16249813333334,2140.417445181844,100.0,False,1
